Operación;Total Nacional;Comunidades y Ciudades Autónomas;Periodo;Total
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2020M10;3,72
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2020M09;3,89
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2020M08;4,02
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2020M07;3,39
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2020M06;4,88
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2020M05;12,92
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2020M04;0
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2020M03;5,52
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2020M02;3,14
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2020M01;3,83
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2019M12;3,14
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2019M11;2,84
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2019M10;2,67
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2019M09;3,06
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2019M08;3,68
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2019M07;3,11
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2019M06;2,78
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2019M05;3
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2019M04;3,25
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2019M03;2,94
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2019M02;3,14
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2019M01;4,31
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2018M12;3,4
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2018M11;3,02
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2018M10;2,93
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2018M09;3,01
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2018M08;3,61
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2018M07;3,1
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2018M06;2,84
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2018M05;3,26
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2018M04;3,02
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2018M03;3,61
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2018M02;3,41
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2018M01;4,52
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2017M12;3,25
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2017M11;3,29
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2017M10;3
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2017M09;2,86
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2017M08;3,33
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2017M07;2,7
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2017M06;2,44
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2017M05;2,74
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2017M04;2,83
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2017M03;2,74
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2017M02;2,71
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2017M01;3,55
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2016M12;2,82
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2016M11;2,73
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2016M10;2,72
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2016M09;2,58
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2016M08;3,33
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2016M07;2,68
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2016M06;2,46
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2016M05;2,73
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2016M04;2,35
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2016M03;2,99
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2016M02;2,52
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2016M01;3,64
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2015M12;2,78
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2015M11;2,44
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2015M10;2,4
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2015M09;2,3
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2015M08;3,3
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2015M07;2,9
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2015M06;2,34
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2015M05;2,58
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2015M04;2,68
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2015M03;2,39
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2015M02;2,33
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2015M01;3
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2014M12;2,67
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2014M11;2,68
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2014M10;2,4
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2014M09;2,58
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2014M08;3,11
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2014M07;2,95
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2014M06;2,58
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2014M05;2,59
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2014M04;2,84
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2014M03;2,68
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2014M02;2,64
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;08 Castilla - La Mancha;2014M01;3,12
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2025M02;3,65
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2025M01;4,52
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2024M12;5,09
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2024M11;5,07
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2024M10;5,44
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2024M09;5,43
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2024M08;6,87
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2024M07;5,78
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2024M06;5,35
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2024M05;4,71
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2024M04;4,94
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2024M03;4,55
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2024M02;5,17
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2024M01;6,07
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2023M12;4,87
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2023M11;5,16
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2023M10;4,62
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2023M09;5,37
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2023M08;6,93
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2023M07;5,92
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2023M06;5,15
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2023M05;4,91
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2023M04;4,2
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2023M03;5,04
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2023M02;4,92
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2023M01;5,51
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2022M12;5,51
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2022M11;5,6
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2022M10;5
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2022M09;5,56
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2022M08;7,19
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2022M07;5,67
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2022M06;5,63
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2022M05;5,16
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2022M04;4,33
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2022M03;6,21
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2022M02;5,69
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2022M01;6,62
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2021M12;5,67
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2021M11;6,91
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2021M10;4,91
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2021M09;5,83
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2021M08;6,85
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2021M07;5,23
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2021M06;4,83
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2021M05;5,88
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2021M04;7,2
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2021M03;9,65
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2021M02;21,34
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2021M01;17,04
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2020M12;11,6
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2020M11;17,58
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2020M10;5,96
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2020M09;5,23
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2020M08;5,89
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2020M07;5,53
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2020M06;3,27
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2020M05;14,69
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2020M04;0
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2020M03;10,91
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2020M02;4,75
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2020M01;5,74
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2019M12;4,82
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2019M11;5,06
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2019M10;5,03
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2019M09;5,84
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2019M08;7,03
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2019M07;6,36
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2019M06;5,11
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2019M05;4,67
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2019M04;4,25
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2019M03;4,79
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2019M02;5,31
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2019M01;5,82
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2018M12;5,41
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2018M11;5,62
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2018M10;5,01
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2018M09;5,71
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2018M08;7,26
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2018M07;6,32
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2018M06;5,25
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2018M05;4,97
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2018M04;4,85
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2018M03;4,64
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2018M02;5,2
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2018M01;6,36
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2017M12;4,99
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2017M11;5,19
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2017M10;4,97
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2017M09;5,85
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2017M08;7,32
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2017M07;6,42
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2017M06;5,41
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2017M05;4,96
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2017M04;4,14
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2017M03;4,92
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2017M02;5,34
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2017M01;5,82
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2016M12;4,68
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2016M11;5,67
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2016M10;4,7
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2016M09;6,17
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2016M08;7,83
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2016M07;6,45
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2016M06;5,48
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2016M05;4,72
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2016M04;4,39
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2016M03;4,36
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2016M02;5,12
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2016M01;5,25
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2015M12;5,22
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2015M11;6,04
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2015M10;4,66
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2015M09;6,65
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2015M08;7,51
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2015M07;7,11
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2015M06;5,72
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2015M05;4,61
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2015M04;4,14
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2015M03;4,71
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2015M02;4,45
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2015M01;5,31
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2014M12;4,69
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2014M11;5,37
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2014M10;4,98
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2014M09;6,07
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2014M08;7,66
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2014M07;7,78
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2014M06;5,69
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2014M05;4,98
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2014M04;4,69
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2014M03;5,82
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2014M02;5,44
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2014M01;6,54
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2025M02;5,13
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2025M01;6,12
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2024M12;5,07
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2024M11;5,31
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2024M10;5,37
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2024M09;5,65
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2024M08;6,81
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2024M07;6,05
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2024M06;4,98
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2024M05;4,79
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2024M04;4,8
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2024M03;4,77
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2024M02;6,48
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2024M01;7,43
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2023M12;5,48
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2023M11;6,52
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2023M10;6,23
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2023M09;5,58
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2023M08;7,01
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2023M07;6,25
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2023M06;5,39
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2023M05;5,74
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2023M04;4,6
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2023M03;5,25
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2023M02;5,77
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2023M01;6,14
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2022M12;5,64
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2022M11;5,98
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2022M10;5,91
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2022M09;6
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2022M08;6,99
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2022M07;6,36
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2022M06;5,26
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2022M05;5,17
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2022M04;4,44
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2022M03;6,05
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2022M02;5,73
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2022M01;7,37
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2021M12;5,21
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2021M11;6,27
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2021M10;5,59
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2021M09;6,18
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2021M08;6,96
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2021M07;6,15
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2021M06;4,72
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2021M05;4,54
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2021M04;4,51
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2021M03;6,51
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2021M02;10,79
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2021M01;10
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2020M12;6,24
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2020M11;9,16
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2020M10;6,39
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2020M09;6,54
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2020M08;6,84
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2020M07;6,56
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2020M06;5,69
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2020M05;22,29
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2020M04;0
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2020M03;7
